platform,seller_type,category,listing_age_days,explicit_negotiable,rfq_supported,quantity,historical_price_edits,price_roundness,merchant_negotiation_enabled,negotiable
LOCAL_CLASSIFIEDS,MERCHANT,GENERAL,81,1,0,1,3,0.2,1,1
OLX,INDIVIDUAL,ELECTRONICS,48,0,0,6,5,1.0,0,0
INDIAMART,INDIVIDUAL,GENERAL,180,0,1,1,6,0.2,0,1
AMAZON,INDIVIDUAL,ELECTRONICS,127,0,0,1,0,0.2,0,1
FLIPKART,MERCHANT,GENERAL,169,0,0,1,0,1.0,1,1
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,177,1,0,1,6,0.2,0,1
OLX,INDIVIDUAL,GENERAL,109,1,0,66,7,0.2,0,1
INDIAMART,INDIVIDUAL,ELECTRONICS,162,0,1,1,2,1.0,0,1
AMAZON,MERCHANT,GENERAL,158,0,0,1,6,0.2,1,1
FLIPKART,INDIVIDUAL,ELECTRONICS,106,0,0,1,3,0.2,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,GENERAL,141,0,0,1,0,1.0,0,0
OLX,INDIVIDUAL,ELECTRONICS,58,1,0,19,0,0.2,0,1
INDIAMART,MERCHANT,GENERAL,157,0,1,1,6,0.2,1,1
AMAZON,INDIVIDUAL,ELECTRONICS,128,0,0,1,0,1.0,0,1
FLIPKART,INDIVIDUAL,GENERAL,157,0,0,1,7,0.2,0,1
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,8,1,0,1,7,0.2,0,1
OLX,MERCHANT,GENERAL,62,0,0,34,1,1.0,1,0
INDIAMART,INDIVIDUAL,ELECTRONICS,100,0,1,1,1,0.2,0,1
AMAZON,INDIVIDUAL,GENERAL,113,0,0,1,4,0.2,0,0
FLIPKART,INDIVIDUAL,ELECTRONICS,98,0,0,1,3,1.0,0,0
LOCAL_CLASSIFIEDS,MERCHANT,GENERAL,28,1,0,1,0,0.2,1,1
OLX,INDIVIDUAL,ELECTRONICS,48,1,0,75,8,0.2,0,1
INDIAMART,INDIVIDUAL,GENERAL,140,0,1,1,3,1.0,0,1
AMAZON,INDIVIDUAL,ELECTRONICS,96,0,0,1,1,0.2,0,1
FLIPKART,MERCHANT,GENERAL,124,0,0,1,0,0.2,1,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,49,0,0,1,0,1.0,0,0
OLX,INDIVIDUAL,GENERAL,95,1,0,64,3,0.2,0,1
INDIAMART,INDIVIDUAL,ELECTRONICS,43,0,1,1,2,0.2,0,0
AMAZON,MERCHANT,GENERAL,116,0,0,1,2,1.0,1,0
FLIPKART,INDIVIDUAL,ELECTRONICS,61,0,0,1,5,0.2,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,GENERAL,163,1,0,1,3,0.2,0,0
OLX,INDIVIDUAL,ELECTRONICS,54,0,0,79,7,1.0,0,1
INDIAMART,MERCHANT,GENERAL,89,0,1,1,3,0.2,1,1
AMAZON,INDIVIDUAL,ELECTRONICS,50,0,0,1,3,0.2,0,0
FLIPKART,INDIVIDUAL,GENERAL,62,0,0,1,0,1.0,0,1
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,90,1,0,1,3,0.2,0,0
OLX,MERCHANT,GENERAL,174,1,0,55,3,0.2,1,1
INDIAMART,INDIVIDUAL,ELECTRONICS,45,0,1,1,4,1.0,0,1
AMAZON,INDIVIDUAL,GENERAL,155,0,0,1,1,0.2,0,0
FLIPKART,INDIVIDUAL,ELECTRONICS,155,0,0,1,3,0.2,0,0
LOCAL_CLASSIFIEDS,MERCHANT,GENERAL,14,0,0,1,2,1.0,1,1
OLX,INDIVIDUAL,ELECTRONICS,166,1,0,5,6,0.2,0,1
INDIAMART,INDIVIDUAL,GENERAL,95,0,1,1,5,0.2,0,1
AMAZON,INDIVIDUAL,ELECTRONICS,140,0,0,1,2,1.0,0,0
FLIPKART,MERCHANT,GENERAL,145,0,0,1,5,0.2,1,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,151,1,0,1,3,0.2,0,1
OLX,INDIVIDUAL,GENERAL,100,0,0,74,7,1.0,0,0
INDIAMART,INDIVIDUAL,ELECTRONICS,156,0,1,1,8,0.2,0,0
AMAZON,MERCHANT,GENERAL,77,0,0,1,6,0.2,1,0
FLIPKART,INDIVIDUAL,ELECTRONICS,80,0,0,1,2,1.0,0,1
LOCAL_CLASSIFIEDS,INDIVIDUAL,GENERAL,139,1,0,1,0,0.2,0,1
OLX,INDIVIDUAL,ELECTRONICS,121,1,0,79,6,0.2,0,1
INDIAMART,MERCHANT,GENERAL,99,0,1,1,4,1.0,1,1
AMAZON,INDIVIDUAL,ELECTRONICS,180,0,0,1,5,0.2,0,1
FLIPKART,INDIVIDUAL,GENERAL,32,0,0,1,3,0.2,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,58,0,0,1,5,1.0,0,0
OLX,MERCHANT,GENERAL,28,1,0,96,1,0.2,1,1
INDIAMART,INDIVIDUAL,ELECTRONICS,104,0,1,1,4,0.2,0,1
AMAZON,INDIVIDUAL,GENERAL,166,0,0,1,0,1.0,0,0
FLIPKART,INDIVIDUAL,ELECTRONICS,11,0,0,1,2,0.2,0,0
LOCAL_CLASSIFIEDS,MERCHANT,GENERAL,52,1,0,1,7,0.2,1,0
OLX,INDIVIDUAL,ELECTRONICS,89,0,0,93,7,1.0,0,0
INDIAMART,INDIVIDUAL,GENERAL,65,0,1,1,3,0.2,0,1
AMAZON,INDIVIDUAL,ELECTRONICS,56,0,0,1,1,0.2,0,0
FLIPKART,MERCHANT,GENERAL,129,0,0,1,6,1.0,1,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,151,1,0,1,7,0.2,0,1
OLX,INDIVIDUAL,GENERAL,149,1,0,32,8,0.2,0,1
INDIAMART,INDIVIDUAL,ELECTRONICS,174,0,1,1,5,1.0,0,1
AMAZON,MERCHANT,GENERAL,124,0,0,1,1,0.2,1,1
FLIPKART,INDIVIDUAL,ELECTRONICS,147,0,0,1,3,0.2,0,1
LOCAL_CLASSIFIEDS,INDIVIDUAL,GENERAL,61,0,0,1,0,1.0,0,1
OLX,INDIVIDUAL,ELECTRONICS,135,1,0,66,3,0.2,0,0
INDIAMART,MERCHANT,GENERAL,157,0,1,1,2,0.2,1,1
AMAZON,INDIVIDUAL,ELECTRONICS,12,0,0,1,0,1.0,0,0
FLIPKART,INDIVIDUAL,GENERAL,75,0,0,1,2,0.2,0,0
LOCAL_CLASSIFIEDS,INDIVIDUAL,ELECTRONICS,74,1,0,1,6,0.2,0,0
