platform,seller_type,category,listing_age_days,explicit_negotiable,rfq_supported,score
FLIPKART,MERCHANT,ELECTRONICS,30,1,1,0.956
FLIPKART,MERCHANT,ELECTRONICS,30,0,1,0.6472
FLIPKART,MERCHANT,ELECTRONICS,30,1,0,0.9103
FLIPKART,MERCHANT,ELECTRONICS,30,0,0,0.4617
FLIPKART,MERCHANT,ELECTRONICS,90,1,1,0.9608
FLIPKART,MERCHANT,ELECTRONICS,90,0,1,0.6742
FLIPKART,MERCHANT,ELECTRONICS,90,1,0,0.9197
FLIPKART,MERCHANT,ELECTRONICS,90,0,0,0.4918
FLIPKART,MERCHANT,VEHICLES,1,1,1,0.9507
FLIPKART,MERCHANT,VEHICLES,1,0,1,0.6197
FLIPKART,MERCHANT,VEHICLES,1,1,0,0.9002
FLIPKART,MERCHANT,VEHICLES,1,0,0,0.4324
FLIPKART,MERCHANT,VEHICLES,30,1,1,0.9517
FLIPKART,MERCHANT,VEHICLES,30,0,1,0.6244
FLIPKART,MERCHANT,VEHICLES,30,1,0,0.902
FLIPKART,MERCHANT,VEHICLES,30,0,0,0.4373
FLIPKART,MERCHANT,VEHICLES,90,1,1,0.9569
FLIPKART,MERCHANT,VEHICLES,90,0,1,0.6523
FLIPKART,MERCHANT,VEHICLES,90,1,0,0.9122
FLIPKART,MERCHANT,VEHICLES,90,0,0,0.4673
FLIPKART,MERCHANT,REAL_ESTATE,1,1,1,0.9507
FLIPKART,MERCHANT,REAL_ESTATE,1,0,1,0.6197
FLIPKART,MERCHANT,REAL_ESTATE,1,1,0,0.9002
FLIPKART,MERCHANT,REAL_ESTATE,1,0,0,0.4324
FLIPKART,MERCHANT,REAL_ESTATE,30,1,1,0.9517
FLIPKART,MERCHANT,REAL_ESTATE,30,0,1,0.6244
FLIPKART,MERCHANT,REAL_ESTATE,30,1,0,0.902
FLIPKART,MERCHANT,REAL_ESTATE,30,0,0,0.4373
FLIPKART,MERCHANT,REAL_ESTATE,90,1,1,0.9569
FLIPKART,MERCHANT,REAL_ESTATE,90,0,1,0.6523
FLIPKART,MERCHANT,REAL_ESTATE,90,1,0,0.9122
FLIPKART,MERCHANT,REAL_ESTATE,90,0,0,0.4673
FLIPKART,INDIVIDUAL,ELECTRONICS,1,1,1,0.8291
FLIPKART,INDIVIDUAL,ELECTRONICS,1,0,1,0.2907
FLIPKART,INDIVIDUAL,ELECTRONICS,1,1,0,0.6941
FLIPKART,INDIVIDUAL,ELECTRONICS,1,0,0,0.1608
FLIPKART,INDIVIDUAL,ELECTRONICS,30,1,1,0.832
FLIPKART,INDIVIDUAL,ELECTRONICS,30,0,1,0.2949
FLIPKART,INDIVIDUAL,ELECTRONICS,30,1,0,0.6984
FLIPKART,INDIVIDUAL,ELECTRONICS,30,0,0,0.1636
FLIPKART,INDIVIDUAL,ELECTRONICS,90,1,1,0.8482
FLIPKART,INDIVIDUAL,ELECTRONICS,90,0,1,0.3206
FLIPKART,INDIVIDUAL,ELECTRONICS,90,1,0,0.7232
FLIPKART,INDIVIDUAL,ELECTRONICS,90,0,0,0.1808
FLIPKART,INDIVIDUAL,VEHICLES,1,1,1,0.8148
FLIPKART,INDIVIDUAL,VEHICLES,1,0,1,0.2709
FLIPKART,INDIVIDUAL,VEHICLES,1,1,0,0.6728
FLIPKART,INDIVIDUAL,VEHICLES,1,0,0,0.148
FLIPKART,INDIVIDUAL,VEHICLES,30,1,1,0.8178
FLIPKART,INDIVIDUAL,VEHICLES,30,0,1,0.2749
FLIPKART,INDIVIDUAL,VEHICLES,30,1,0,0.6773
FLIPKART,INDIVIDUAL,VEHICLES,30,0,0,0.1505
FLIPKART,INDIVIDUAL,VEHICLES,90,1,1,0.8351
FLIPKART,INDIVIDUAL,VEHICLES,90,0,1,0.2996
FLIPKART,INDIVIDUAL,VEHICLES,90,1,0,0.7031
FLIPKART,INDIVIDUAL,VEHICLES,90,0,0,0.1667
FLIPKART,INDIVIDUAL,REAL_ESTATE,1,1,1,0.8148
FLIPKART,INDIVIDUAL,REAL_ESTATE,1,0,1,0.2709
FLIPKART,INDIVIDUAL,REAL_ESTATE,1,1,0,0.6728
FLIPKART,INDIVIDUAL,REAL_ESTATE,1,0,0,0.148
FLIPKART,INDIVIDUAL,REAL_ESTATE,30,1,1,0.8178
FLIPKART,INDIVIDUAL,REAL_ESTATE,30,0,1,0.2749
FLIPKART,INDIVIDUAL,REAL_ESTATE,30,1,0,0.6773
FLIPKART,INDIVIDUAL,REAL_ESTATE,30,0,0,0.1505
FLIPKART,INDIVIDUAL,REAL_ESTATE,90,1,1,0.8351
FLIPKART,INDIVIDUAL,REAL_ESTATE,90,0,1,0.2996
FLIPKART,INDIVIDUAL,REAL_ESTATE,90,1,0,0.7031
FLIPKART,INDIVIDUAL,REAL_ESTATE,90,0,0,0.1667
OLX,MERCHANT,ELECTRONICS,1,1,1,0.9785
OLX,MERCHANT,ELECTRONICS,1,0,1,0.7939
OLX,MERCHANT,ELECTRONICS,1,1,0,0.9552
OLX,MERCHANT,ELECTRONICS,1,0,0,0.643
OLX,MERCHANT,ELECTRONICS,30,1,1,0.979
OLX,MERCHANT,ELECTRONICS,30,0,1,0.7972
OLX,MERCHANT,ELECTRONICS,30,1,0,0.9561
OLX,MERCHANT,ELECTRONICS,30,0,0,0.6476
OLX,MERCHANT,ELECTRONICS,90,1,1,0.9813
OLX,MERCHANT,ELECTRONICS,90,0,1,0.816
OLX,MERCHANT,ELECTRONICS,90,1,0,0.9609
OLX,MERCHANT,ELECTRONICS,90,0,0,0.6747
OLX,MERCHANT,VEHICLES,1,1,1,0.9764
OLX,MERCHANT,VEHICLES,1,0,1,0.7774
OLX,MERCHANT,VEHICLES,1,1,0,0.9508
OLX,MERCHANT,VEHICLES,1,0,0,0.6201
OLX,MERCHANT,VEHICLES,30,1,1,0.9768
OLX,MERCHANT,VEHICLES,30,0,1,0.7808
OLX,MERCHANT,VEHICLES,30,1,0,0.9517
OLX,MERCHANT,VEHICLES,30,0,0,0.6249
OLX,MERCHANT,VEHICLES,90,1,1,0.9794
OLX,MERCHANT,VEHICLES,90,0,1,0.8008
OLX,MERCHANT,VEHICLES,90,1,0,0.957
OLX,MERCHANT,VEHICLES,90,0,0,0.6528
OLX,MERCHANT,REAL_ESTATE,1,1,1,0.9764
OLX,MERCHANT,REAL_ESTATE,1,0,1,0.7774
OLX,MERCHANT,REAL_ESTATE,1,1,0,0.9508
OLX,MERCHANT,REAL_ESTATE,1,0,0,0.6201
OLX,MERCHANT,REAL_ESTATE,30,1,1,0.9768
OLX,MERCHANT,REAL_ESTATE,30,0,1,0.7808
OLX,MERCHANT,REAL_ESTATE,30,1,0,0.9517
OLX,MERCHANT,REAL_ESTATE,30,0,0,0.6249
OLX,MERCHANT,REAL_ESTATE,90,1,1,0.9794
OLX,MERCHANT,REAL_ESTATE,90,0,1,0.8008
OLX,MERCHANT,REAL_ESTATE,90,1,0,0.957
OLX,MERCHANT,REAL_ESTATE,90,0,0,0.6528
OLX,INDIVIDUAL,ELECTRONICS,1,1,1,0.9123
OLX,INDIVIDUAL,ELECTRONICS,1,0,1,0.4676
OLX,INDIVIDUAL,ELECTRONICS,1,1,0,0.8294
OLX,INDIVIDUAL,ELECTRONICS,1,0,0,0.2911
OLX,INDIVIDUAL,ELECTRONICS,30,1,1,0.9139
OLX,INDIVIDUAL,ELECTRONICS,30,0,1,0.4727
OLX,INDIVIDUAL,ELECTRONICS,30,1,0,0.8323
OLX,INDIVIDUAL,ELECTRONICS,30,0,0,0.2953
OLX,INDIVIDUAL,ELECTRONICS,90,1,1,0.9229
OLX,INDIVIDUAL,ELECTRONICS,90,0,1,0.5028
OLX,INDIVIDUAL,ELECTRONICS,90,1,0,0.8485
OLX,INDIVIDUAL,ELECTRONICS,90,0,0,0.3211
OLX,INDIVIDUAL,VEHICLES,1,1,1,0.9041
OLX,INDIVIDUAL,VEHICLES,1,0,1,0.4433
OLX,INDIVIDUAL,VEHICLES,1,1,0,0.8151
OLX,INDIVIDUAL,VEHICLES,1,0,0,0.2713
OLX,INDIVIDUAL,VEHICLES,30,1,1,0.9058
OLX,INDIVIDUAL,VEHICLES,30,0,1,0.4482
OLX,INDIVIDUAL,VEHICLES,30,1,0,0.8181
OLX,INDIVIDUAL,VEHICLES,30,0,0,0.2753
OLX,INDIVIDUAL,VEHICLES,90,1,1,0.9156
OLX,INDIVIDUAL,VEHICLES,90,0,1,0.4783
OLX,INDIVIDUAL,VEHICLES,90,1,0,0.8354
OLX,INDIVIDUAL,VEHICLES,90,0,0,0.3
OLX,INDIVIDUAL,REAL_ESTATE,1,1,1,0.9041
OLX,INDIVIDUAL,REAL_ESTATE,1,0,1,0.4433
OLX,INDIVIDUAL,REAL_ESTATE,1,1,0,0.8151
OLX,INDIVIDUAL,REAL_ESTATE,1,0,0,0.2713
OLX,INDIVIDUAL,REAL_ESTATE,30,1,1,0.9058
OLX,INDIVIDUAL,REAL_ESTATE,30,0,1,0.4482
OLX,INDIVIDUAL,REAL_ESTATE,30,1,0,0.8181
OLX,INDIVIDUAL,REAL_ESTATE,30,0,0,0.2753
OLX,INDIVIDUAL,REAL_ESTATE,90,1,1,0.9156
OLX,INDIVIDUAL,REAL_ESTATE,90,0,1,0.4783
OLX,INDIVIDUAL,REAL_ESTATE,90,1,0,0.8354
OLX,INDIVIDUAL,REAL_ESTATE,90,0,0,0.3
INDIAMART,MERCHANT,ELECTRONICS,1,1,1,0.9801
INDIAMART,MERCHANT,ELECTRONICS,1,0,1,0.8059
INDIAMART,MERCHANT,ELECTRONICS,1,1,0,0.9583
INDIAMART,MERCHANT,ELECTRONICS,1,0,0,0.66
INDIAMART,MERCHANT,ELECTRONICS,30,1,1,0.9805
INDIAMART,MERCHANT,ELECTRONICS,30,0,1,0.809
INDIAMART,MERCHANT,ELECTRONICS,30,1,0,0.9591
INDIAMART,MERCHANT,ELECTRONICS,30,0,0,0.6645
INDIAMART,MERCHANT,ELECTRONICS,90,1,1,0.9826
INDIAMART,MERCHANT,ELECTRONICS,90,0,1,0.827
INDIAMART,MERCHANT,ELECTRONICS,90,1,0,0.9636
INDIAMART,MERCHANT,ELECTRONICS,90,0,0,0.6909
INDIAMART,MERCHANT,VEHICLES,1,1,1,0.978
INDIAMART,MERCHANT,VEHICLES,1,0,1,0.79
INDIAMART,MERCHANT,VEHICLES,1,1,0,0.9542
INDIAMART,MERCHANT,VEHICLES,1,0,0,0.6376
INDIAMART,MERCHANT,VEHICLES,30,1,1,0.9785
INDIAMART,MERCHANT,VEHICLES,30,0,1,0.7934
INDIAMART,MERCHANT,VEHICLES,30,1,0,0.9551
INDIAMART,MERCHANT,VEHICLES,30,0,0,0.6422
INDIAMART,MERCHANT,VEHICLES,90,1,1,0.9809
INDIAMART,MERCHANT,VEHICLES,90,0,1,0.8125
INDIAMART,MERCHANT,VEHICLES,90,1,0,0.96
INDIAMART,MERCHANT,VEHICLES,90,0,0,0.6695
INDIAMART,MERCHANT,REAL_ESTATE,1,1,1,0.978
INDIAMART,MERCHANT,REAL_ESTATE,1,0,1,0.79
INDIAMART,MERCHANT,REAL_ESTATE,1,1,0,0.9542
INDIAMART,MERCHANT,REAL_ESTATE,1,0,0,0.6376
INDIAMART,MERCHANT,REAL_ESTATE,30,1,1,0.9785
INDIAMART,MERCHANT,REAL_ESTATE,30,0,1,0.7934
INDIAMART,MERCHANT,REAL_ESTATE,30,1,0,0.9551
INDIAMART,MERCHANT,REAL_ESTATE,30,0,0,0.6422
INDIAMART,MERCHANT,REAL_ESTATE,90,1,1,0.9809
INDIAMART,MERCHANT,REAL_ESTATE,90,0,1,0.8125
INDIAMART,MERCHANT,REAL_ESTATE,90,1,0,0.96
INDIAMART,MERCHANT,REAL_ESTATE,90,0,0,0.6695
INDIAMART,INDIVIDUAL,ELECTRONICS,1,1,1,0.9181
INDIAMART,INDIVIDUAL,ELECTRONICS,1,0,1,0.4863
INDIAMART,INDIVIDUAL,ELECTRONICS,1,1,0,0.8397
INDIAMART,INDIVIDUAL,ELECTRONICS,1,0,0,0.3068
INDIAMART,INDIVIDUAL,ELECTRONICS,30,1,1,0.9196
INDIAMART,INDIVIDUAL,ELECTRONICS,30,0,1,0.4913
INDIAMART,INDIVIDUAL,ELECTRONICS,30,1,0,0.8424
INDIAMART,INDIVIDUAL,ELECTRONICS,30,0,0,0.3111
INDIAMART,INDIVIDUAL,ELECTRONICS,90,1,1,0.9281
INDIAMART,INDIVIDUAL,ELECTRONICS,90,0,1,0.5215
INDIAMART,INDIVIDUAL,ELECTRONICS,90,1,0,0.8578
INDIAMART,INDIVIDUAL,ELECTRONICS,90,0,0,0.3376
INDIAMART,INDIVIDUAL,VEHICLES,1,1,1,0.9104
INDIAMART,INDIVIDUAL,VEHICLES,1,0,1,0.4618
INDIAMART,INDIVIDUAL,VEHICLES,1,1,0,0.8261
INDIAMART,INDIVIDUAL,VEHICLES,1,0,0,0.2863
INDIAMART,INDIVIDUAL,VEHICLES,30,1,1,0.912
INDIAMART,INDIVIDUAL,VEHICLES,30,0,1,0.4668
INDIAMART,INDIVIDUAL,VEHICLES,30,1,0,0.829
INDIAMART,INDIVIDUAL,VEHICLES,30,0,0,0.2904
INDIAMART,INDIVIDUAL,VEHICLES,90,1,1,0.9212
INDIAMART,INDIVIDUAL,VEHICLES,90,0,1,0.4969
INDIAMART,INDIVIDUAL,VEHICLES,90,1,0,0.8454
INDIAMART,INDIVIDUAL,VEHICLES,90,0,0,0.3159
INDIAMART,INDIVIDUAL,REAL_ESTATE,1,1,1,0.9104
INDIAMART,INDIVIDUAL,REAL_ESTATE,1,0,1,0.4618
INDIAMART,INDIVIDUAL,REAL_ESTATE,1,1,0,0.8261
INDIAMART,INDIVIDUAL,REAL_ESTATE,1,0,0,0.2863
INDIAMART,INDIVIDUAL,REAL_ESTATE,30,1,1,0.912
INDIAMART,INDIVIDUAL,REAL_ESTATE,30,0,1,0.4668
INDIAMART,INDIVIDUAL,REAL_ESTATE,30,1,0,0.829
INDIAMART,INDIVIDUAL,REAL_ESTATE,30,0,0,0.2904
INDIAMART,INDIVIDUAL,REAL_ESTATE,90,1,1,0.9212
INDIAMART,INDIVIDUAL,REAL_ESTATE,90,0,1,0.4969
INDIAMART,INDIVIDUAL,REAL_ESTATE,90,1,0,0.8454
INDIAMART,INDIVIDUAL,REAL_ESTATE,90,0,0,0.3159
